,subj_sess,time,key,value
14,U540_ses0,429.769775390625,syncPulse,{}
15,U540_ses0,1325.269775390625,syncPulse,{}
16,U540_ses0,2292.010009765625,syncPulse,{}
17,U540_ses0,3406.47998046875,syncPulse,{}
18,U540_ses0,4373.919921875,syncPulse,{}
19,U540_ses0,5471.329833984375,syncPulse,{}
20,U540_ses0,6605.760009765625,syncPulse,{}
21,U540_ses0,7538.179931640625,syncPulse,{}
22,U540_ses0,8598.469970703125,syncPulse,{}
23,U540_ses0,9415.75,syncPulse,{}
24,U540_ses0,10590.2099609375,syncPulse,{}
25,U540_ses0,11701.419921875,syncPulse,{}
26,U540_ses0,12772.849853515625,syncPulse,{}
27,U540_ses0,13704.739990234375,syncPulse,{}
28,U540_ses0,14771.219970703125,syncPulse,{}
34,U540_ses0,15852.719970703125,syncPulse,{}
35,U540_ses0,16869.909912109375,syncPulse,{}
36,U540_ses0,18044.199951171875,syncPulse,{}
37,U540_ses0,19161.47998046875,syncPulse,{}
38,U540_ses0,20309.969970703125,syncPulse,{}
39,U540_ses0,21132.329833984375,syncPulse,{}
40,U540_ses0,22099.60986328125,syncPulse,{}
41,U540_ses0,22902.769775390625,syncPulse,{}
42,U540_ses0,23879.159912109375,syncPulse,{}
43,U540_ses0,24726.60986328125,syncPulse,{}
44,U540_ses0,25807.059814453125,syncPulse,{}
45,U540_ses0,26958.519775390625,syncPulse,{}
46,U540_ses0,28063.010009765625,syncPulse,{}
47,U540_ses0,28939.4599609375,syncPulse,{}
48,U540_ses0,29953.909912109375,syncPulse,{}
49,U540_ses0,30849.179931640625,syncPulse,{}
50,U540_ses0,31906.559814453125,syncPulse,{}
51,U540_ses0,32926.019775390625,syncPulse,{}
52,U540_ses0,33966.260009765625,syncPulse,{}
53,U540_ses0,34984.449951171875,syncPulse,{}
54,U540_ses0,35923.85986328125,syncPulse,{}
55,U540_ses0,36811.309814453125,syncPulse,{}
56,U540_ses0,37749.52978515625,syncPulse,{}
57,U540_ses0,38672.760009765625,syncPulse,{}
58,U540_ses0,39816.9599609375,syncPulse,{}
59,U540_ses0,40656.22998046875,syncPulse,{}
60,U540_ses0,41841.679931640625,syncPulse,{}
61,U540_ses0,42663.139892578125,syncPulse,{}
62,U540_ses0,43554.60986328125,syncPulse,{}
63,U540_ses0,44504.06982421875,syncPulse,{}
64,U540_ses0,45475.599853515625,syncPulse,{}
70,U540_ses0,46462.059814453125,syncPulse,{}
71,U540_ses0,47569.4599609375,syncPulse,{}
72,U540_ses0,48386.8798828125,syncPulse,{}
73,U540_ses0,49295.349853515625,syncPulse,{}
74,U540_ses0,50333.58984375,syncPulse,{}
75,U540_ses0,51439.02978515625,syncPulse,{}
76,U540_ses0,52247.039794921875,syncPulse,{}
77,U540_ses0,53373.81982421875,syncPulse,{}
78,U540_ses0,54338.27978515625,syncPulse,{}
79,U540_ses0,55327.52978515625,syncPulse,{}
80,U540_ses0,56219.89990234375,syncPulse,{}
81,U540_ses0,57408.2998046875,syncPulse,{}
82,U540_ses0,58475.7998046875,syncPulse,{}
83,U540_ses0,59562.2998046875,syncPulse,{}
84,U540_ses0,60707.75,syncPulse,{}
85,U540_ses0,61537.18994140625,syncPulse,{}
86,U540_ses0,62392.489990234375,syncPulse,{}
87,U540_ses0,63238.9599609375,syncPulse,{}
88,U540_ses0,64361.39990234375,syncPulse,{}
89,U540_ses0,65277.849853515625,syncPulse,{}
90,U540_ses0,66169.25,syncPulse,{}
96,U540_ses0,66999.44995117188,syncPulse,{}
97,U540_ses0,68111.71997070312,syncPulse,{}
98,U540_ses0,69039.21997070312,syncPulse,{}
99,U540_ses0,70032.44995117188,syncPulse,{}
100,U540_ses0,70911.83984375,syncPulse,{}
101,U540_ses0,71962.14990234375,syncPulse,{}
102,U540_ses0,73135.169921875,syncPulse,{}
103,U540_ses0,74244.60986328125,syncPulse,{}
104,U540_ses0,75080.93994140625,syncPulse,{}
105,U540_ses0,76027.36987304688,syncPulse,{}
106,U540_ses0,77138.82983398438,syncPulse,{}
107,U540_ses0,77966.05981445312,syncPulse,{}
108,U540_ses0,79041.47998046875,syncPulse,{}
109,U540_ses0,79934.93994140625,syncPulse,{}
110,U540_ses0,80779.38989257812,syncPulse,{}
111,U540_ses0,81866.60986328125,syncPulse,{}
112,U540_ses0,83034.89990234375,syncPulse,{}
113,U540_ses0,84210.2998046875,syncPulse,{}
114,U540_ses0,85200.51977539062,syncPulse,{}
115,U540_ses0,86251.82983398438,syncPulse,{}
116,U540_ses0,87344.23999023438,syncPulse,{}
117,U540_ses0,88220.69995117188,syncPulse,{}
118,U540_ses0,89048.92993164062,syncPulse,{}
119,U540_ses0,89895.36987304688,syncPulse,{}
120,U540_ses0,90794.78979492188,syncPulse,{}
121,U540_ses0,91864.98999023438,syncPulse,{}
122,U540_ses0,92902.28979492188,syncPulse,{}
123,U540_ses0,94101.60986328125,syncPulse,{}
124,U540_ses0,94910.9599609375,syncPulse,{}
125,U540_ses0,96040.35986328125,syncPulse,{}
126,U540_ses0,97214.63989257812,syncPulse,{}
127,U540_ses0,98183.83984375,syncPulse,{}
128,U540_ses0,99016.01000976562,syncPulse,{}
129,U540_ses0,99895.34985351562,syncPulse,{}
130,U540_ses0,100850.7099609375,syncPulse,{}
131,U540_ses0,102045.06982421875,syncPulse,{}
132,U540_ses0,103136.15991210938,syncPulse,{}
133,U540_ses0,104250.38989257812,syncPulse,{}
139,U540_ses0,105209.69995117188,syncPulse,{}
140,U540_ses0,106063.90991210938,syncPulse,{}
141,U540_ses0,106897.17993164062,syncPulse,{}
142,U540_ses0,107714.3798828125,syncPulse,{}
143,U540_ses0,108641.65991210938,syncPulse,{}
144,U540_ses0,109483.8798828125,syncPulse,{}
145,U540_ses0,110464.18994140625,syncPulse,{}
146,U540_ses0,111624.68994140625,syncPulse,{}
147,U540_ses0,112815.89990234375,syncPulse,{}
148,U540_ses0,113808.32983398438,syncPulse,{}
149,U540_ses0,114909.80981445312,syncPulse,{}
150,U540_ses0,115852.60986328125,syncPulse,{}
151,U540_ses0,116739.88989257812,syncPulse,{}
152,U540_ses0,117610.3798828125,syncPulse,{}
153,U540_ses0,118541.669921875,syncPulse,{}
154,U540_ses0,119607.09985351562,syncPulse,{}
155,U540_ses0,120606.5498046875,syncPulse,{}
156,U540_ses0,121760.98999023438,syncPulse,{}
157,U540_ses0,122844.4599609375,syncPulse,{}
158,U540_ses0,123724.76000976562,syncPulse,{}
159,U540_ses0,124618.2099609375,syncPulse,{}
160,U540_ses0,125626.8798828125,syncPulse,{}
161,U540_ses0,126440.169921875,syncPulse,{}
162,U540_ses0,127613.5,syncPulse,{}
163,U540_ses0,128712.84985351562,syncPulse,{}
164,U540_ses0,129620.26000976562,syncPulse,{}
165,U540_ses0,130591.5498046875,syncPulse,{}
166,U540_ses0,131533.80981445312,syncPulse,{}
167,U540_ses0,132728.10986328125,syncPulse,{}
168,U540_ses0,133724.419921875,syncPulse,{}
169,U540_ses0,134862.669921875,syncPulse,{}
170,U540_ses0,135711.9599609375,syncPulse,{}
171,U540_ses0,136909.3798828125,syncPulse,{}
172,U540_ses0,137762.63989257812,syncPulse,{}
173,U540_ses0,138778.97998046875,syncPulse,{}
174,U540_ses0,139715.18994140625,syncPulse,{}
175,U540_ses0,140732.34985351562,syncPulse,{}
176,U540_ses0,141807.61987304688,syncPulse,{}
177,U540_ses0,142956.919921875,syncPulse,{}
178,U540_ses0,144143.38989257812,syncPulse,{}
