,subj_sess,time,key,value
15,U555_ses0,1659907712483.25,syncPulse,{}
16,U555_ses0,1659907713466.53,syncPulse,{}
17,U555_ses0,1659907714440.96,syncPulse,{}
18,U555_ses0,1659907715540.27,syncPulse,{}
19,U555_ses0,1659907716696.56,syncPulse,{}
20,U555_ses0,1659907717574.05,syncPulse,{}
21,U555_ses0,1659907718583.25,syncPulse,{}
22,U555_ses0,1659907719551.41,syncPulse,{}
23,U555_ses0,1659907720416.72,syncPulse,{}
24,U555_ses0,1659907721433.93,syncPulse,{}
25,U555_ses0,1659907722633.1,syncPulse,{}
26,U555_ses0,1659907723749.29,syncPulse,{}
27,U555_ses0,1659907724912.6,syncPulse,{}
28,U555_ses0,1659907725715.81,syncPulse,{}
29,U555_ses0,1659907726901.2,syncPulse,{}
30,U555_ses0,1659907727835.74,syncPulse,{}
31,U555_ses0,1659907728763.04,syncPulse,{}
32,U555_ses0,1659907729849.23,syncPulse,{}
33,U555_ses0,1659907730899.4,syncPulse,{}
34,U555_ses0,1659907731807.6,syncPulse,{}
35,U555_ses0,1659907732929.79,syncPulse,{}
36,U555_ses0,1659907733892.21,syncPulse,{}
37,U555_ses0,1659907734920.71,syncPulse,{}
38,U555_ses0,1659907735980.94,syncPulse,{}
44,U555_ses0,1659907736894.32,syncPulse,{}
45,U555_ses0,1659907737977.77,syncPulse,{}
46,U555_ses0,1659907738778.24,syncPulse,{}
47,U555_ses0,1659907739910.69,syncPulse,{}
48,U555_ses0,1659907740721.39,syncPulse,{}
49,U555_ses0,1659907741831.62,syncPulse,{}
50,U555_ses0,1659907742830.11,syncPulse,{}
51,U555_ses0,1659907743775.53,syncPulse,{}
52,U555_ses0,1659907744966.75,syncPulse,{}
53,U555_ses0,1659907745855.01,syncPulse,{}
54,U555_ses0,1659907746989.43,syncPulse,{}
55,U555_ses0,1659907748038.96,syncPulse,{}
56,U555_ses0,1659907749026.27,syncPulse,{}
57,U555_ses0,1659907750085.71,syncPulse,{}
58,U555_ses0,1659907751235.11,syncPulse,{}
59,U555_ses0,1659907752112.34,syncPulse,{}
60,U555_ses0,1659907753049.55,syncPulse,{}
61,U555_ses0,1659907753889.95,syncPulse,{}
62,U555_ses0,1659907755067.34,syncPulse,{}
63,U555_ses0,1659907756062.6,syncPulse,{}
64,U555_ses0,1659907757241.81,syncPulse,{}
65,U555_ses0,1659907758268.14,syncPulse,{}
66,U555_ses0,1659907759226.32,syncPulse,{}
67,U555_ses0,1659907760363.62,syncPulse,{}
68,U555_ses0,1659907761371.92,syncPulse,{}
69,U555_ses0,1659907762409.34,syncPulse,{}
70,U555_ses0,1659907763385.77,syncPulse,{}
71,U555_ses0,1659907764186.23,syncPulse,{}
72,U555_ses0,1659907765291.71,syncPulse,{}
73,U555_ses0,1659907766179.08,syncPulse,{}
74,U555_ses0,1659907767315.32,syncPulse,{}
75,U555_ses0,1659907768479.5,syncPulse,{}
76,U555_ses0,1659907769634.7,syncPulse,{}
77,U555_ses0,1659907770747.89,syncPulse,{}
78,U555_ses0,1659907771733.26,syncPulse,{}
79,U555_ses0,1659907772605.74,syncPulse,{}
80,U555_ses0,1659907773481.98,syncPulse,{}
86,U555_ses0,1659907774558.27,syncPulse,{}
87,U555_ses0,1659907775517.74,syncPulse,{}
88,U555_ses0,1659907776473.23,syncPulse,{}
89,U555_ses0,1659907777291.54,syncPulse,{}
90,U555_ses0,1659907778344.84,syncPulse,{}
91,U555_ses0,1659907779470.3,syncPulse,{}
92,U555_ses0,1659907780544.62,syncPulse,{}
93,U555_ses0,1659907781413.85,syncPulse,{}
94,U555_ses0,1659907782349.13,syncPulse,{}
